Order Date,Ship Date,State,Sales,Quantity,Discount,Profit,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables
2016-11-08,2016-11-11,Kentucky,261.96,2,0.0,41.9136,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-08,2016-11-11,Kentucky,731.94,3,0.0,219.582,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-06-12,2016-06-16,California,14.62,2,0.0,6.8714,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-10-11,2015-10-18,Florida,957.5775,5,0.45,-383.031,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015-10-11,2015-10-18,Florida,22.368,2,0.2,2.5164,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-06-09,2014-06-14,California,48.86,7,0.0,14.1694,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-06-09,2014-06-14,California,7.28,4,0.0,1.9656,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-09,2014-06-14,California,907.152,6,0.2,90.7152,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-06-09,2014-06-14,California,18.504,3,0.2,5.7825,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-09,2014-06-14,California,114.9,5,0.0,34.47,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-09,2014-06-14,California,1706.184,9,0.2,85.3092,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-06-09,2014-06-14,California,911.424,4,0.2,68.3568,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017-04-15,2017-04-20,North Carolina,15.552,3,0.2,5.4432,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-12-05,2016-12-10,Washington,407.976,3,0.2,132.5922,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-22,2015-11-26,Texas,68.81,5,0.8,-123.858,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-22,2015-11-26,Texas,2.544,3,0.8,-3.816,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-11,2014-11-18,Wisconsin,665.88,6,0.0,13.3176,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-05-13,2014-05-15,Utah,55.5,2,0.0,9.99,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014-08-27,2014-09-01,California,8.56,2,0.0,2.4824,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-27,2014-09-01,California,213.48,3,0.2,16.011,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014-08-27,2014-09-01,California,22.72,4,0.2,7.384,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-09,2016-12-13,Nebraska,19.46,7,0.0,5.0596,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-09,2016-12-13,Nebraska,60.34,7,0.0,15.6884,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-16,2017-07-18,Pennsylvania,71.372,2,0.3,-1.0196,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-09-25,2015-09-30,Utah,1044.63,3,0.0,240.2649,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-16,2016-01-20,California,11.648,2,0.2,4.2224,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-16,2016-01-20,California,90.57,3,0.0,11.7741,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,2015-09-21,Pennsylvania,3083.43,7,0.5,-1665.0522,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,2015-09-21,Pennsylvania,9.618,2,0.7,-7.0532,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,2015-09-21,Pennsylvania,124.2,3,0.2,15.525,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-09-17,2015-09-21,Pennsylvania,3.264,2,0.2,1.1016,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
